,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
193,3d,1,2048,16,4096,32.0,,175.12066666666666,4.891,180.01166666666666,,20.23333333333333,4.811333333333333,25.044666666666664
194,3d,1,2048,16,4096,304.0,,20.23333333333333,4.811333333333333,25.044666666666664,214.758,,,214.758
195,3d,1,2048,16,4096,304.0,,20.23333333333333,4.811333333333333,25.044666666666664,,20.23333333333333,4.811333333333333,25.044666666666664
196,3d,1,2048,16,512,32.0,,42.845,8.017999999999999,50.863,32.10033333333333,,,32.10033333333333
197,3d,1,2048,16,512,32.0,,42.845,8.017999999999999,50.863,,6.334666666666667,4.183,10.517666666666667
198,3d,1,2048,16,512,304.0,,6.334666666666667,4.183,10.517666666666667,32.10033333333333,,,32.10033333333333
199,3d,1,2048,16,512,304.0,,6.334666666666667,4.183,10.517666666666667,,6.334666666666667,4.183,10.517666666666667
200,3d,1,2048,1,1024,32.0,,9.394666666666666,5.185333333333333,14.579999999999998,59.483000000000004,,,59.483000000000004
201,3d,1,2048,1,1024,32.0,,9.394666666666666,5.185333333333333,14.579999999999998,,9.194,5.278666666666666,14.472666666666667
202,3d,1,2048,1,1024,304.0,,9.194,5.278666666666666,14.472666666666667,59.483000000000004,,,59.483000000000004
203,3d,1,2048,1,1024,304.0,,9.194,5.278666666666666,14.472666666666667,,9.194,5.278666666666666,14.472666666666667
204,3d,1,2048,1,2048,32.0,,12.949999999999998,5.573,18.522999999999996,112.24333333333333,,,112.24333333333333
205,3d,1,2048,1,2048,32.0,,12.949999999999998,5.573,18.522999999999996,,12.562,4.811,17.372999999999998
206,3d,1,2048,1,2048,304.0,,12.562,4.811,17.372999999999998,112.24333333333333,,,112.24333333333333
207,3d,1,2048,1,2048,304.0,,12.562,4.811,17.372999999999998,,12.562,4.811,17.372999999999998
208,3d,1,2048,1,256,32.0,,7.242999999999999,5.545999999999999,12.788999999999998,19.792,,,19.792
209,3d,1,2048,1,256,32.0,,7.242999999999999,5.545999999999999,12.788999999999998,,7.243333333333333,5.318666666666667,12.562000000000001
210,3d,1,2048,1,256,304.0,,7.243333333333333,5.318666666666667,12.562000000000001,19.792,,,19.792
211,3d,1,2048,1,256,304.0,,7.243333333333333,5.318666666666667,12.562000000000001,,7.243333333333333,5.318666666666667,12.562000000000001
212,3d,1,2048,1,4096,32.0,,18.95,4.476999999999999,23.427,217.68466666666666,,,217.68466666666666
213,3d,1,2048,1,4096,32.0,,18.95,4.476999999999999,23.427,,19.470666666666666,5.198666666666667,24.669333333333334
214,3d,1,2048,1,4096,304.0,,19.470666666666666,5.198666666666667,24.669333333333334,217.68466666666666,,,217.68466666666666
215,3d,1,2048,1,4096,304.0,,19.470666666666666,5.198666666666667,24.669333333333334,,19.470666666666666,5.198666666666667,24.669333333333334
216,3d,1,2048,1,512,32.0,,7.350333333333334,4.356999999999999,11.707333333333334,32.754999999999995,,,32.754999999999995
217,3d,1,2048,1,512,32.0,,7.350333333333334,4.356999999999999,11.707333333333334,,7.109666666666667,5.118333333333333,12.228
218,3d,1,2048,1,512,304.0,,7.109666666666667,5.118333333333333,12.228,32.754999999999995,,,32.754999999999995
219,3d,1,2048,1,512,304.0,,7.109666666666667,5.118333333333333,12.228,,7.109666666666667,5.118333333333333,12.228
220,3d,1,2048,256,1024,32.0,,1033.151,36.48333333333334,1069.6343333333334,60.09733333333333,,,60.09733333333333
221,3d,1,2048,256,1024,32.0,,1033.151,36.48333333333334,1069.6343333333334,,103.65066666666667,7.750666666666667,111.40133333333333
222,3d,1,2048,256,1024,304.0,,103.65066666666667,7.750666666666667,111.40133333333333,60.09733333333333,,,60.09733333333333
223,3d,1,2048,256,1024,304.0,,103.65066666666667,7.750666666666667,111.40133333333333,,103.65066666666667,7.750666666666667,111.40133333333333
224,3d,1,2048,256,2048,32.0,,1622.4996666666666,35.93566666666667,1658.4353333333333,113.66000000000001,,,113.66000000000001
225,3d,1,2048,256,2048,32.0,,1622.4996666666666,35.93566666666667,1658.4353333333333,,152.80300000000003,7.698,160.50100000000003
